Source,Interaction
GNB2L1,CISH
GNB2L1,IL2RB
GNB2L1,TRIM45
GNB2L1,CDK2
GNB2L1,ILK
GNB2L1,RPL27A
GNB2L1,PDE4D
GNB2L1,MAP3K4
GNB2L1,CUL2
GNB2L1,KCNAB1
GNB2L1,EIF3E
GNB2L1,TIAL1
GNB2L1,EPOR
GNB2L1,RPSA
GNB2L1,ITGB1
GNB2L1,DYNC1LI2
GNB2L1,ISG15
GNB2L1,IL4R
GNB2L1,RPS21
GNB2L1,EIF3K
GNB2L1,RPL13
GNB2L1,ITGB2
GNB2L1,UBC
GNB2L1,GRAP2
GNB2L1,AGTRAP
GNB2L1,RPL15
GNB2L1,JAK1
GNB2L1,RPL21
GNB2L1,ADRB2
GNB2L1,RPL37A
GNB2L1,CCNA1
GNB2L1,RPL7A
GNB2L1,RPS12
GNB2L1,RPS13
GNB2L1,RPS16
GNB2L1,RPS18
GNB2L1,KCNJ3
GNB2L1,RPS20
GNB2L1,GABRB3
GNB2L1,RPS25
GNB2L1,RPS27
GNB2L1,LRP12
GNB2L1,RPS3
GNB2L1,RPS3A
GNB2L1,RPS5
GNB2L1,RPS8
GNB2L1,RPS9
GNB2L1,PTOV1
GNB2L1,EOP
GNB2L1,MAPK9
GNB2L1,CSF2RB
GNB2L1,PGM2
GNB2L1,YWHAZ
GNB2L1,RPS2
GNB2L1,RPL4
GNB2L1,RPL19
GNB2L1,RASA1
GNB2L1,PRKD1
GNB2L1,TNFRSF1A
GNB2L1,STAT1
GNB2L1,PRKCD
GNB2L1,PPID
GNB2L1,FEM1B
GNB2L1,FBXW2
GNB2L1,TP73
DNAJC6,BAG2
DNAJC6,CLTC
DNAJC6,AP2A2
KALRN,PAM
KALRN,PRKD2
KALRN,DISC1
KALRN,SUMO3
KALRN,GNB1
KALRN,FASLG
KALRN,EPHB2
KALRN,SUMO2
KALRN,LNX1
KALRN,ENO3
KALRN,COIL
KALRN,RAC1
KALRN,GFI1B
KALRN,ATXN7
KALRN,NDEL1
KALRN,CACNA1A
NF1,TIRAP
NF1,CALM1
NF1,RPS6KA1
NF1,SDC3
NF1,SDC1
NF1,IRF2
NF1,NSFL1C
NF1,MYOG
NF1,NSL1
NF1,IRF8
NF1,MIS12
NF1,CHKB
NF1,TBPL1
NF1,DNAJC7
NF1,WDR4
NF1,HRAS
NF1,SDC4
NF1,SDC2
NF1,RRAS2
NF1,CAV1
NF1,GRIN2D
NF1,GSK3B
NF1,SMAD4
NF1,GRIN1
NF1,DYNC1H1
NF1,TSR1
NF1,PML
NF1,SIRT7
NF1,SMAD2
NF1,SMAD3
NF1,MYO5A
NF1,SMARCA4
NF1,SUMO1
NF1,APP
NF1,NAP1L1
NF1,POLR2A
NF1,VCP
NF1,HDAC1
NF1,YWHAB
NF1,UBC
PLXNA4,MICAL2
PLXNA4,RANBP9
PCDHGC5,APP
TBC1D10B,UBC
TBC1D10B,GABARAPL1
TBC1D10B,MAP1LC3A
TBC1D10B,TLN1
TBC1D10B,VCP
SHANK1,SSTR2
SHANK1,LPHN1
SHANK1,BAIAP2L1
SHANK1,LPHN2
SHANK1,BAI2
SHANK1,SHARPIN
SHANK1,STAT1
SHANK1,BAIAP2
SHANK1,DNM2
SHANK1,DLGAP1
SHANK1,ARHGEF7
SHANK1,RPS6KA2
SHANK1,SPTAN1
SHANK1,HOMER3
SHANK1,DLG4
SHANK1,TANC1
SHANK1,RPS6KA3
SHANK1,HOMER1
SHANK1,SQSTM1
SHANK1,ABCA1
DBN1,MAGOH
DBN1,NIPBL
DBN1,ZNF598
DBN1,UBE2Q2
DBN1,MARCKS
DBN1,PIK3C3
DBN1,DNMBP
DBN1,HOMER2
DBN1,NUP133
DBN1,ECE1
DBN1,PAN2
DBN1,ZC3H4
DBN1,LRCH3
DBN1,FLNA
DBN1,SPTBN1
DBN1,CALU
DBN1,PHB
DBN1,TPM4
DBN1,PVRL3
DBN1,HNRNPUL1
DBN1,MTHFB1
DBN1,TXNDC5
DBN1,JUP
DBN1,TPM1
DBN1,GJA1
DBN1,SPTAN1
DBN1,CDH2
DBN1,RPLP0
DBN1,BTK
DBN1,PVRL2
DBN1,TBPT1
DBN1,ARRB2
DBN1,SUPT5H
DBN1,ARRB2
DBN1,SUPT5H
DBN1,CXCR4
DBN1,BAK1
DBN1,DUSP23
DBN1,UBC
DBN1,MEST
DBN1,MLLT4
DBN1,FBXO6
DBN1,SP1
DBN1,SNUPN
DBN1,FHL1
DBN1,RIPK3
DBN1,BTRC
DBN1,IKBKG
DBN1,TINF2
DBN1,TERF1
DBN1,POT1
DBN1,CDK2AP2
DBN1,PTEN
DBN1,MAP3K3
DBN1,NUDT3
DBN1,NUDT21
DBN1,MAP1LC3B
DBN1,TAB1
DBN1,UBE2D3
DBN1,ACD
DLG2,ERBB4
DLG2,ATP2B2
DLG2,ATP2B4
DLG2,NLGN3
DLG2,SEMA4C
DLG2,DLGAP1
DLG2,GUCY1A2
DLG2,KCNA4
DLG2,LYL1
DLG2,MAP1A
DLG2,NLGN1
DLG2,DYNLL2
DLG2,NLGN2
DLG2,GRIN2A
